title,authors,genre,tags,series,rating
The Way of Kings,Brandon Sanderson,Fantasy,Cosmere,The Stormlight Archives,5
Words of Radiance,Brandon Sanderson,Fantasy,Cosmere,The Stormlight Archives,5
Oathbringer,Brandon Sanderson,Fantasy,Cosmere,The Stormlight Archives,4
Rhythm of War,Brandon Sanderson,Fantasy,Cosmere,The Stormlight Archives,
Wind and Truth,Brandon Sanderson,Fantasy,Cosmere,The Stormlight Archives,
Edgedancer,Brandon Sanderson,Fantasy,Cosmere,The Stormlight Archives,5
Dawnshard,Brandon Sanderson,Fantasy,Cosmere,The Stormlight Archives,4
A Letter to the Luminous Deep,Sylvie Cathrall,Fiction,,The Sunken Archive,
The Tales of Dunk & Egg,George R.R. Martin,Fantasy,,The Tales of Dunk & Egg,
The Assassin's Blade,Sarah J. Maas,Fantasy,,Throne of Glass,
Throne of Glass,Sarah J. Maas,Fantasy,,Throne of Glass,
Crown of Midnight,Sarah J. Maas,Fantasy,,Throne of Glass,
Heir Of Fire,Sarah J. Maas,Fantasy,,Throne of Glass,
Queen of Shadows,Sarah J. Maas,Fantasy,,Throne of Glass,
Empire of Storms,Sarah J. Maas,Fantasy,,Throne of Glass,
Tower of Dawn,Sarah J. Maas,Fantasy,,Throne of Glass,
Kingdom of Ash,Sarah J. Maas,Fantasy,,Throne of Glass,
Blood of Hercules,Jasmine Mas,Romantasy,,Villains of Lore,
Enchantra,Kaylie Smith,Romantasy,,Wicked Games,
A Harvest of Hearts,Andrea Eames,Fantasy,,,
Arcanum Unbounded,Brandon Sanderson,Fantasy,Cosmere,,
Elantris,Brandon Sanderson,Fantasy,Cosmere, ,,4
Isles of the Emberdark,Brandon Sanderson,Fantasy,Cosmere,,
Warbreaker,Brandon Sanderson,Fantasy,Cosmere,,4
Tress of the Emerald Sea,Brandon Sanderson,Fantasy,Cosmere,,5
The Sunlit Man,Brandon Sanderson,Fantasy,Cosmere,,
Yumi and the Nightmare Painter,Brandon Sanderson,Fantasy,Cosmere,,
Artemis,Andy Weir,Science Fiction,,,
Babel,R.F. Kuang,Fantasy,,,
Blood Over Bright Haven,M. L. Wang,Fantasy,,,
Bury Our Bones in the Midnight Soil,V. E. Schwab,Fantasy,,,
Children of Time,Adrian Tchaikovsky,Science Fiction,,,
Cruel is the Light,Sophie Clark,Romantasy,,,
Our Infinite Fates,Laura Steven,Romantasy,,,
Project Hail Mary,Andy Weir,Science Fiction,,,5
Shroud,Adrian Tchaikovsky,Science Fiction,,,
The City of Dusk,Tara Sim,Fantasy,,,
The Devils,Joe Abercrombie,Fantasy,,,
The Invisible Life of Addie LaRue,V. E. Schwab,Fiction,,,
The Knight and the Moth,Rachel Gillig,Romantasy,,,
The Martian,Andy Weir,Science Fiction,,,4
The Monster and the Last Blood Match,K.A. Linde,Romantasy,,,
The Monstrous Kind,Lydia Gregovic,Romantasy,,,
The Rose Bargain,Sasha Peyton Smith,Romantasy,,,
The Thirteenth Child,Erin A. Craig,Romantasy,,,
The Will of the Many,James Islington,Fantasy,,,
The Wolf and the Woodsman,Ava Reid,Romantasy,,,
Water Moon,Samantha Sotto Yambao,Fiction,,,
